     "Activity",           "ID",     "Time[ms]",           "ax",           "ay",           "az"
        Running,              3,  1546952276176,-9.21918392e-01, 7.59336174e-01, 4.47750378e+00
        Running,              3,  1546952276276,-1.15674734e+00, 1.75924265e+00, 1.93572044e-01
        Running,              3,  1546952276376,-2.23929143e+00,-8.49243581e-01, 6.49623871e-02
        Running,              3,  1546952276476,-2.19329566e-01,-3.14918518e-01,-3.46060753e-01
        Running,              3,  1546952276576, 1.59117270e+00, 3.12972426e-01, 2.48705864e-01
        Running,              3,  1546952276676,-2.83664465e-02, 1.99885368e-01,-1.07522583e+00
        Running,              3,  1546952276776, 1.20285463e+00,-3.68378878e-01, 3.82074356e-01
        Running,              3,  1546952276876, 1.01422548e-01,-5.47406673e-02,-1.31662416e+00
        Running,              3,  1546952276976,-8.72716904e-02, 3.31939459e-02,-2.19941139e-01
        Running,              3,  1546952277075, 9.03108358e-01,-4.84029531e-01,-5.06565094e-01
        Running,              3,  1546952277176,-4.00497437e-01, 5.56607604e-01, 2.58733273e+00
        Running,              3,  1546952277276,-2.59428453e+00,-3.08561802e-01, 1.36802101e+00
        Running,              3,  1546952277376, 1.56530046e+00, 4.91984606e-01, 3.64248133e+00
        Running,              3,  1546952277476, 2.15401411e+00,-1.87806773e+00,-1.47490048e+00
        Running,              3,  1546952277576, 1.84527302e+00, 1.60304785e+00,-3.43538070e+00
        Running,              3,  1546952277675, 8.73044777e+00,-7.32000947e-01,-2.33726072e+00
        Running,              3,  1546952277775,-7.21033096e-01,-1.42787218e+00, 1.94788575e+00
        Running,              3,  1546952277876,-2.56145430e+00,-1.06813431e-01,-1.67755103e+00
        Running,              3,  1546952277975,-4.60596514e+00, 1.65482855e+00,-5.99180222e+00
        Running,              3,  1546952278076, 2.80048466e+00, 3.50136399e+00,-1.84304237e+00
        Running,              3,  1546952278178, 4.70295382e+00,-5.13806343e-01,-3.41328025e+00
        Running,              3,  1546952278278,-2.08747625e+00,-7.67252827e+00,-5.18633699e+00
        Running,              3,  1546952278377,-3.69724798e+00,-3.83369017e+00, 2.32122116e+01
        Running,              3,  1546952278477, 1.53570580e+00, 1.22050953e+00, 9.90162849e-01
        Running,              3,  1546952278578, 9.47592020e-01, 3.34845591e+00,-2.84815311e+00
        Running,              3,  1546952278678, 1.99384880e+00, 4.14323473e+00, 1.00064611e+00
        Running,              3,  1546952278778,-1.29001045e+00, 1.58988285e+00,-3.47437382e-01
        Running,              3,  1546952278877, 1.30395174e+00,-7.02427483e+00, 2.25135088e-02
        Running,              3,  1546952278978, 9.58197594e-01,-3.75870323e+00,-4.47037965e-01
        Running,              3,  1546952279078,-1.50272703e+00, 3.02670097e+00,-1.57957268e+00
        Running,              3,  1546952279178, 1.25600982e+00, 2.26854706e+00,-2.06316209e+00
        Running,              3,  1546952279278,-8.93000603e-01,-1.04668427e+00,-4.37132835e-01
        Running,              3,  1546952279378, 3.82278085e+00,-2.21895933e+00,-1.51882660e+00
        Running,              3,  1546952279478,-3.04519367e+00, 5.24928570e+00, 3.66961598e-01
        Running,              3,  1546952279578, 5.37842274e-01, 4.09862518e-01, 7.48095512e-01
        Running,              3,  1546952279679, 2.63028145e-02,-4.96375275e+00, 1.40994787e-03
        Running,              3,  1546952279778,-2.22709179e-01,-6.71623230e-01, 7.39932060e-01
        Running,              3,  1546952279879, 2.82180309e-01, 7.52207422e+00,-3.20597053e-01
        Running,              3,  1546952279979,-1.19122624e+00,-1.26889801e+00,-1.15070510e+00
        Running,              3,  1546952280079,-1.35801792e-01,-3.09745502e+00,-2.60630608e+00
        Running,              3,  1546952280179, 7.92573357e+00,-3.47852707e-02,-5.64254403e-01
        Running,              3,  1546952280280,-1.08520985e-01, 3.58126640e-01,-2.79678011e+00
        Running,              3,  1546952280379,-8.93074274e-01, 7.04421997e-02, 1.17331529e+00
        Running,              3,  1546952280480, 1.29571319e+00, 4.40342045e+00,-1.22314668e+00
        Running,              3,  1546952280579,-4.49378300e+00,-6.22783756e+00, 4.17368317e+00
        Running,              3,  1546952280680, 1.14331496e+00,-4.92048454e+00, 2.35440135e-01
